1556200060.180463 GLOBAL_POSITION_INT {time_boot_ms : 15464655, lat : 535045580, lon : 492223338, alt : 56060, relative_alt : 2066, vx : -53, vy : -41, vz : 6, hdg : 15573}
1556200068.182342 GLOBAL_POSITION_INT {time_boot_ms : 15472655, lat : 535045188, lon : 492222814, alt : 56010, relative_alt : 2017, vx : -54, vy : -43, vz : 1, hdg : 15920}
1556200076.179407 GLOBAL_POSITION_INT {time_boot_ms : 15480655, lat : 535044804, lon : 492222284, alt : 55990, relative_alt : 1999, vx : -53, vy : -42, vz : 3, hdg : 16102}
1556200083.182311 GLOBAL_POSITION_INT {time_boot_ms : 15487655, lat : 535044468, lon : 492221826, alt : 56010, relative_alt : 2012, vx : -53, vy : -43, vz : -1, hdg : 16482}
1556200091.179383 GLOBAL_POSITION_INT {time_boot_ms : 15495655, lat : 535044115, lon : 492221299, alt : 56070, relative_alt : 2077, vx : -50, vy : -44, vz : 1, hdg : 17074}
1556200099.179531 GLOBAL_POSITION_INT {time_boot_ms : 15503655, lat : 535043781, lon : 492220748, alt : 56110, relative_alt : 2115, vx : -50, vy : -46, vz : 2, hdg : 17475}
1556200107.179484 GLOBAL_POSITION_INT {time_boot_ms : 15511655, lat : 535043450, lon : 492220166, alt : 56040, relative_alt : 2043, vx : -44, vy : -50, vz : -3, hdg : 18101}
1556200114.177404 GLOBAL_POSITION_INT {time_boot_ms : 15518655, lat : 535043194, lon : 492219627, alt : 56040, relative_alt : 2044, vx : -41, vy : -51, vz : -4, hdg : 18602}
1556200122.176817 GLOBAL_POSITION_INT {time_boot_ms : 15526655, lat : 535042881, lon : 492218996, alt : 56100, relative_alt : 2100, vx : -45, vy : -52, vz : -3, hdg : 18623}
1556200130.173729 GLOBAL_POSITION_INT {time_boot_ms : 15534655, lat : 535042553, lon : 492218390, alt : 56070, relative_alt : 2073, vx : -45, vy : -50, vz : 1, hdg : 18795}
1556200137.174207 GLOBAL_POSITION_INT {time_boot_ms : 15541655, lat : 535042262, lon : 492217865, alt : 55960, relative_alt : 1969, vx : -45, vy : -50, vz : -1, hdg : 19043}
1556200145.174464 GLOBAL_POSITION_INT {time_boot_ms : 15549655, lat : 535041943, lon : 492217270, alt : 56070, relative_alt : 2078, vx : -45, vy : -45, vz : 0, hdg : 19141}
1556200153.173367 GLOBAL_POSITION_INT {time_boot_ms : 15557655, lat : 535041614, lon : 492216714, alt : 56060, relative_alt : 2066, vx : -48, vy : -46, vz : -4, hdg : 19248}
1556200161.172624 GLOBAL_POSITION_INT {time_boot_ms : 15565655, lat : 535041285, lon : 492216127, alt : 56050, relative_alt : 2051, vx : -45, vy : -48, vz : -4, hdg : 19708}
1556200168.171437 GLOBAL_POSITION_INT {time_boot_ms : 15572655, lat : 535041009, lon : 492215610, alt : 56090, relative_alt : 2092, vx : -45, vy : -49, vz : 0, hdg : 20000}
1556200176.172612 GLOBAL_POSITION_INT {time_boot_ms : 15580655, lat : 535040690, lon : 492215013, alt : 56020, relative_alt : 2029, vx : -46, vy : -48, vz : -2, hdg : 20125}
1556200184.178304 GLOBAL_POSITION_INT {time_boot_ms : 15588655, lat : 535040388, lon : 492214498, alt : 54370, relative_alt : -2, vx : -24, vy : -23, vz : 18, hdg : 19975}
